timestep counter year t Rntot lEtot Htot Rnctot lEctot Hctot Actot Rnstot lEstot Hstot Gtot Resp aPAR aPAR_Cab faPAR aPAR_energyunits fluortot fluor_yield
""        ""      ""  JulianDay  Wm-2   Wm-2 Wm-2 Wm-2 Wm-2   Wm-2 umolm-2s-1 Wm-2 Wm-2 Wm-2 Wm-2 umolm-2s-1 umolm-2s-1 umolumol-1 Wm-2  W m-2 WW^{-1}
      110        21      2006  169.5833    399.85    140.26    115.98    256.70     94.13    170.21     10.90    143.15     46.13    -54.22    151.23      0.00   1262.19   1231.39      0.87    276.67   0.7020  0.002537
      111        21      2006  169.6042    465.56    146.34    159.12    307.92     99.60    218.38     10.73    157.64     46.74    -59.26    170.14      0.00   1435.04   1400.04      0.87    314.52   0.7844  0.002494
      112        20      2006  169.6250    363.66    137.93     84.27    232.06     94.28    146.42     10.29    131.61     43.65    -62.15    150.10      0.00   1210.89   1181.38      0.88    265.37   0.6819  0.002570
      113        22      2006  169.6458    372.37    133.79     91.03    245.12     84.54    170.21      9.28    127.25     49.24    -79.18    157.17      0.00   1257.17   1226.55      0.89    275.47   0.7006  0.002543
      114        22      2006  169.6667    398.40    133.33    116.82    270.41     84.20    197.74      8.87    127.99     49.13    -80.92    159.75      0.00   1356.36   1323.36      0.90    297.16   0.7494  0.002522
      115        20      2006  169.6875    308.67    126.78     48.59    201.30     81.87    130.10      8.48    107.38     44.91    -81.51    143.96      0.00   1161.58   1133.35      0.91    254.45   0.6624  0.002603
      116        22      2006  169.7083    227.05    140.59     69.20    161.72     75.47     91.85      8.45     65.34     65.12    -22.65     22.87      0.00    967.56    944.06      0.92    211.92   0.5734  0.002706
      117        22      2006  169.7292    120.67    120.77    -14.20     74.75     63.53     13.18      7.59     45.92     57.24    -27.37     16.07      0.00    705.05    687.94      0.93    154.40   0.4451  0.002883
      118        21      2006  169.7500     74.40    110.04    -48.73     37.77     55.02    -17.55      6.89     36.62     55.02    -31.18     12.82      0.00    592.68    578.31      0.94    129.78   0.3886  0.002994
      119        20      2006  169.7708    -15.08     83.38   -112.74    -37.97     33.84    -78.14      5.38     22.89     49.54    -34.60      8.01      0.00    342.23    333.93      0.95     74.93   0.2456  0.003277
      120        17      2006  169.7917      1.70     72.16    -84.09    -23.62     36.66    -65.12      5.54     25.32     35.50    -18.97      8.86      0.00    379.30    370.11      0.95     83.05   0.2699  0.003249
      121        20      2006  169.8125    -86.95     52.15   -151.50    -99.35     12.24   -119.73      2.96     12.41     39.90    -31.77      4.34      0.00    147.52    143.94      0.95     32.30   0.1176  0.003641
      122        20      2006  169.8333   -112.19     28.36   -144.93   -115.32      2.03   -120.72      1.14      3.13     26.33    -24.21      1.09      0.00     51.81     50.56      0.95     11.34   0.0468  0.004129
      123        20      2006  169.8542   -115.89     21.23   -138.69   -117.23      0.29   -118.68      0.35      1.34     20.94    -20.00      0.47      0.00     25.57     24.95      0.95      5.60   0.0247  0.004410
      124        19      2006  169.8750   -117.92     15.02   -131.10   -118.05      0.05   -116.28     -0.75      0.13     14.97    -14.82      0.05      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
      125        19      2006  169.8958   -105.50     14.31   -118.14   -105.77      0.05   -104.13     -0.72      0.27     14.26    -14.01      0.10      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
      126        19      2006  169.9167   -108.42     13.30   -119.92   -108.30      0.04   -106.65     -0.71     -0.12     13.26    -13.27     -0.04      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
      127        19      2006  169.9375   -108.42     13.56   -120.12   -108.23      0.04   -106.56     -0.70     -0.19     13.51    -13.56     -0.06      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
      128        19      2006  169.9583   -110.17     15.30   -123.93   -110.89      0.05   -109.21     -0.71      0.71     15.25    -14.71      0.25      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
      129        19      2006  169.9792   -108.13     15.85   -122.64   -109.32      0.06   -107.69     -0.71      1.19     15.79    -14.95      0.42      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
      130        19      2006  170.0000   -103.84     17.14   -119.77   -105.42      0.06   -103.78     -0.71      1.58     17.08    -15.99      0.55      0.00      0.00      0.00       NaN      0.00   0.0000       NaN
