0, 0.11699, 0.07945
1, 0.07856, 0.00000
2, 0.10866, 0.08279
3, 0.09115, 0.04305
4, 0.04457, 0.00000
5, 0.07294, 0.00000
6, 0.03678, 0.00000
7, 0.06155, 0.00000
8, 0.07893, 0.00000
9, 0.05925, 0.00000
10, 0.09078, 0.00000
11, 0.08755, 0.00000
12, 0.06295, 0.00000
13, 0.02213, 0.00000
14, 0.14633, 0.09056
15, 0.08776, 0.02912
17, 0.05034, 0.09342
18, 0.04447, 0.00000
19, 0.06053, 0.00000
20, 0.08168, 0.03079
21, 0.05145, 0.00000
22, 0.07638, 0.05792
23, 0.03272, 0.08881
24, 0.04284, 0.00000
25, 0.08484, 0.06832
26, 0.06277, 0.01511
27, 0.07599, 0.01229
28, 0.08112, 0.03648
29, 0.04728, 0.00000
30, 0.10723, 0.05866
31, 0.08830, 0.07612
32, 0.06216, 0.02632
33, 0.07446, 0.05507
34, 0.07389, 0.05326
35, 0.11278, 0.08982
36, 0.12190, 0.08914
37, 0.08818, 0.06972
38, 0.08925, 0.04494
39, 0.12211, 0.07769
40, 0.08366, 0.07681
