584.98519100 0.19614337
585.20835800 0.20839202
585.43146100 0.22003462
585.65449900 0.23116709
585.87747500 0.24416437
586.10038600 0.26111115
586.32323400 0.28180440
586.54601900 0.30473819
586.76874000 0.32751522
586.99139900 0.35171466
587.21399400 0.37690560
587.43652700 0.40392779
587.65899600 0.43140067
587.88140300 0.46000186
588.10374700 0.48954802
588.32602900 0.52064085
588.54824900 0.55040398
588.77040600 0.56378821
588.99250100 0.57390242
589.21453400 0.59557698
589.43650500 0.62861034
589.65841400 0.68684598
589.88026200 0.75731240
590.10204800 0.83921579
590.32377200 0.92495027
590.54543500 0.99810343
590.76703700 1.07029771
590.98857700 1.14646557
591.21005700 1.22369905
591.43147500 1.30180592
591.65283300 1.39417368
591.87413000 1.50435491
592.09536600 1.63055316
592.31654200 1.75756403
592.53765800 1.87275879
592.75871300 1.84519532
592.97970800 1.83404245
593.20064200 1.82516340
593.42151700 1.82797327
593.64233200 1.84173693
593.86308700 1.85218872
594.08378300 1.85548450
594.30441900 1.85420769
594.52499500 1.84804815
594.74551300 1.83384758
594.96597100 1.82025068
595.18636900 1.81054586
595.40670900 1.81193427
595.62699000 1.81731395
595.84721300 1.82427941
596.06737600 1.83259068
596.28748100 1.83868376
596.50752800 1.83986176
596.72751600 1.83940702
596.94744600 1.84117946
597.16731700 1.84325911
597.38713100 1.83241397
597.60688700 1.81439003
597.82658500 1.80321772
598.04622500 1.80317787
598.26580800 1.79719733
598.48533300 1.78073783
598.70480100 1.77238321
598.92421200 1.78397889
599.14356500 1.80428070
599.36286100 1.81158597
599.58210100 1.80778019
599.80128300 1.79854189
600.02040900 1.79036077
600.23947900 1.78893427
600.45849100 1.78481610
600.67744800 1.77074070
600.89634800 1.76519655
601.11519100 1.76468494
601.33397900 1.76927902
601.55271100 1.76831313
601.77138700 1.75967797
601.99000700 1.74797727
602.20857100 1.73542137
602.42708000 1.73692898
602.64553400 1.75560045
602.86393200 1.77768846
603.08227500 1.79823751
603.30056300 1.81047711
603.51879500 1.81789929
603.73697300 1.81870834
603.95509700 1.81338972
604.17316500 1.80622291
604.39117900 1.80175245
604.60913800 1.80627447
604.82704300 1.81261675
605.04489400 1.81311797
605.26269100 1.80628077
605.48043300 1.79188850
605.69812200 1.78284764
605.91575700 1.78923016
606.13333800 1.79993654
606.35086500 1.79172286
606.56833900 1.77728938
606.78576000 1.77872379
607.00312700 1.79563135
607.22044100 1.81068016
607.43770200 1.81022130
607.65491000 1.79446920
607.87206600 1.77186066
608.08916800 1.75955699
608.30621800 1.76047623
608.52321500 1.76276415
608.74016000 1.75919440
608.95705300 1.75699277
609.17389300 1.75597141
609.39068100 1.75762788
609.60741700 1.76448202
609.82410100 1.76828673
610.04073400 1.75114222
610.25731500 1.71622341
610.47384400 1.70110331
610.69032200 1.72270642
610.90674800 1.75312935
611.12312300 1.76378536
611.33944700 1.76746321
611.55572000 1.76547123
611.77194200 1.76080271
611.98811300 1.74466088
612.20423400 1.71979057
612.42030300 1.70812031
612.63632300 1.72265796
612.85229200 1.74003537
613.06821000 1.74453224
613.28407900 1.74544505
613.49989700 1.72301059
613.71566500 1.67932805
613.93138400 1.65860110
614.14705200 1.68022005
614.36267100 1.71187058
614.57824100 1.72807039
614.79376100 1.73582639
615.00923200 1.73391044
615.22465300 1.73205205
615.44002500 1.72397446
615.65534900 1.71186243
615.87062300 1.69940908
616.08584900 1.66330807
616.30102600 1.61868636
616.51615400 1.62072770
616.73123400 1.65286217
616.94626500 1.66393211
617.16124800 1.66563085
617.37618300 1.68740191
617.59107000 1.70878612
617.80590900 1.71588522
618.02070000 1.72644803
618.23544300 1.73960138
618.45013900 1.74509897
618.66478700 1.73824777
618.87938800 1.72047352
619.09394100 1.69836863
619.30844700 1.69126742
619.52290600 1.71200411
619.73731800 1.73672220
619.95168400 1.73971294
620.16600200 1.73566765
620.38027300 1.74048978
620.59449900 1.75142053
620.80867700 1.75580752
621.02280900 1.75382384
621.23689500 1.73620691
621.45093500 1.70791442
621.66492900 1.69271458
621.87887600 1.69298145
622.09277800 1.69950352
622.30663400 1.71086844
622.52044500 1.72380658
622.73421000 1.72161521
622.94793000 1.69588778
623.16160400 1.66598650
623.37523300 1.67006271
623.58881700 1.69545076
623.80235600 1.70242867
624.01585000 1.69308814
624.22929900 1.68463395
624.44270300 1.66822524
624.65606300 1.65065770
624.86937900 1.66021034
625.08265000 1.68066368
625.29587700 1.66887023
625.50906000 1.63829051
625.72219800 1.63117414
625.93529300 1.64649731
626.14834400 1.67353500
626.36135100 1.69446738
626.57431400 1.70171912
626.78723400 1.70444529
627.00011100 1.70594741
627.21294400 1.70591700
627.42573400 1.71268047
627.63848100 1.71983938
627.85118400 1.71132334
628.06384500 1.69425023
628.27646300 1.69039359
628.48903900 1.70195679
628.70157200 1.71351573
628.91406200 1.71378506
629.12651000 1.70539317
629.33891600 1.70068851
629.55127900 1.70066671
629.76360100 1.69172505
629.97588000 1.66593897
630.18811800 1.64080162
630.40031400 1.64350963
630.61246800 1.67526882
630.82458100 1.70205156
631.03665200 1.69928046
631.24868200 1.68411437
631.46067100 1.65950184
631.67261900 1.62862043
631.88452500 1.61398500
632.09639100 1.62638536
632.30821600 1.65352920
632.52000000 1.67838736
632.73174300 1.69154915
632.94344600 1.69126314
633.15510900 1.68479275
633.36673200 1.67795635
633.57831400 1.65439245
633.78985600 1.62929847
634.00135800 1.63435824
634.21282000 1.65310377
634.42424300 1.65643328
634.63562600 1.65451839
634.84696900 1.66582875
635.05827300 1.68344623
635.26953700 1.68739169
